Cluster,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Class,Diam,Dist,E(B-V),Age,pmRA,e_pmRA,pmDE,e_pmDE,Nc,r_pmRA,RV,e_RV,o_RV,r_RV,[Fe/H],e_[Fe/H],o_[Fe/H],TrType
Ruprecht 110,14,5,26,-,67,28,0,,18.0,1300,0.0,8.74,-3.6,0.17,-5.01,0.14,831,D14,-36.65,3.98,2,RAVE,-0.359,0.193,2,3-2-m-*
Loden 1194,14,5,42,-,59,42,0,d,14.0,500,0.05,8.53,-3.49,0.22,-4.0,0.15,535,D14,1.38,4.0,2,D14,,,0,4-3-p-*
NGC 5460,14,7,27,-,48,20,36,,35.0,700,0.092,8.2,-5.07,0.13,2.31,0.1,1347,D14,-17.9,5.2,21,FF11,-0.06,0.12,5,
Loden 1225,14,9,3,-,59,43,0,,4.0,1500,0.2,8.67,-2.61,0.58,-3.35,0.3,63,D14,,,0,,,,0,4-3-m-*
ASCC 77,14,10,48,-,62,19,48,,38.4,2200,0.3,6.99,-6.37,0.07,-4.66,0.05,3849,D14,,,0,,,,0,
Loden 1289,14,14,6,-,57,52,0,,4.5,1753,0.874,8.6,-6.57,0.62,-5.44,0.47,78,D14,,,0,,,,0,4-3-r-*
ESO 097 15,14,15,29,-,64,36,42,d,12.0,3274,0.854,8.25,-4.91,0.19,-5.08,0.12,646,D14,,,0,,,,0,
ESO 021 06,14,15,52,-,78,30,12,,9.0,1222,1.03,9.35,-2.81,0.47,-3.68,0.45,122,D14,,,0,,-0.05,0.28,0,4-3-m-*
Loden 1282,14,15,54,-,59,8,0,,3.5,1349,0.312,8.15,-1.25,0.92,-5.21,0.4,50,D14,,,0,,,,0,4-1-m-*
Ruprecht 167,14,18,11,-,58,58,0,,14.0,2000,0.1,8.57,-6.17,0.14,-6.55,0.11,442,D14,,,0,,,,0,3-2-m-*
Loden 1256,14,18,12,-,61,26,0,,10.0,1400,0.3,8.41,-4.96,0.19,-4.18,0.09,244,D14,,,0,,,,0,4-3-m-n
ESO 175 06,14,18,32,-,56,55,6,,18.0,550,0.2,8.6,-4.87,0.16,-1.43,0.13,963,D14,-27.9,10.0,1,D14,,,0,3-3-m-*
Lynga 2,14,24,35,-,61,19,50,,13.0,900,0.22,7.95,-5.26,0.09,-5.42,0.1,334,D14,-9.94,0.6,6,FM09,,,0,
NGC 5593,14,25,39,-,54,47,54,,10.0,850,0.0,8.77,-2.82,0.24,-1.84,0.24,319,D14,,,0,,,,0,3-2-p-*
NGC 5606,14,27,47,-,59,37,54,,3.0,1805,0.474,7.075,-5.19,1.06,-4.6,0.8,3,BDW,-37.75,0.82,4,D14,,,0,
NGC 5617,14,29,44,-,60,42,42,,10.0,2000,0.48,7.9,-4.36,0.2,-5.39,0.17,475,D14,-38.63,2.25,27,DCDE,-0.18,0.02,2,
Loden 1378,14,30,23,-,58,13,0,,31.0,1346,0.479,8.84,-3.5,0.1,-5.35,0.08,2041,D14,-41.7,10.0,1,D14,,,0,4-2-p-*
Pismis 19,14,30,40,-,60,53,0,,3.0,1500,1.48,8.9,-3.07,0.19,-6.01,0.79,103,D14,,,0,,,,0,
Trumpler 22,14,31,2,-,61,10,0,,10.0,1516,0.521,7.95,-4.63,0.18,-4.9,0.16,390,D14,-38.46,2.08,19,DCDE,-0.17,0.02,2,
Turner 7,14,32,33,-,56,53,12,,13.0,1800,1.39,9.9,-2.89,0.24,-2.64,0.19,457,D14,-18.9,1.3,1,D14,,,0,
Loden 1339,14,33,29,-,62,1,0,,4.0,1278,0.833,8.09,-5.41,0.28,-5.95,0.32,113,D14,,,0,,,,0,4-3-m-*
Hogg 17,14,33,58,-,61,22,0,,4.0,1310,0.594,8.03,-6.01,0.3,-5.87,0.54,81,D14,,,0,,,,0,
FSR 1688,14,34,37,-,56,7,58,IR,3.1,1469,0.822,8.455,-1.64,0.52,-0.65,0.19,73,D14,,,0,,,,0,
NGC 5662,14,35,37,-,56,37,6,,29.0,666,0.311,7.968,-2.04,0.1,-2.54,0.09,1833,D14,-21.27,0.24,2,MMU,-0.03,0.13,2,
Ruprecht 111,14,35,54,-,59,58,0,,7.0,1121,0.37,9.15,-5.12,0.1,-6.17,0.12,243,D14,,,0,,,,0,3-1-m-*
ESO 447 29,14,37,27,-,29,24,42,,12.0,1634,0.104,9.5,-5.84,0.68,-2.98,0.29,56,D14,,,0,,,,0,3-3-m-*
Juchert 10,14,40,19,-,60,22,52,,3.0,3200,2.06,8.9,,,,,0,,,,0,,,,0,
Collinder 285,14,41,6,+,69,34,0,,1400.0,25,0.0,8.3,,,,,0,,,,0,,,,0,
Loden 1373,14,41,48,-,62,52,0,d,18.0,3412,1.041,7.95,-8.51,0.13,0.01,0.12,1212,D14,,,0,,,,0,
NGC 5715,14,43,30,-,57,34,37,,6.0,1500,0.42,8.9,-1.76,0.38,-2.0,0.32,226,D14,,,0,,,,0,3-2-m-*
Loden 1375,14,44,18,-,63,25,0,,12.0,1819,0.625,7.9,-8.56,0.13,-0.35,0.14,626,D14,,,0,,,,0,4-2-m-*
ESO 134 12,14,44,46,-,59,9,54,,4.0,2088,0.937,8.9,-2.95,0.34,-4.04,0.28,71,D14,,,0,,,,0,3-3-p-*
Loden 1409,14,44,56,-,61,43,0,,31.0,2088,0.937,8.0,-4.8,0.08,-4.29,0.07,2904,D14,-33.8,0.29,1,K14,,,0,4-3-m-*
BH 164,14,48,14,-,66,20,12,,60.0,440,0.13,8.2,-7.38,0.53,-10.89,0.53,14,MAD,16.8,4.68,2,D14,,,0,
NGC 5749,14,48,53,-,54,29,54,,10.0,1031,0.376,7.728,-1.75,1.71,-3.36,1.51,1,BDW,,,0,,,,0,
Hogg 18,14,50,43,-,52,16,0,,5.0,1535,0.503,7.759,-1.36,0.89,-3.34,1.0,1,BDW,,,0,,,,0,
Teutsch 80,14,53,26,-,60,28,57,,3.4,2500,1.61,8.1,-1.94,0.01,-1.89,0.67,50,D14,,,0,,,,0,
NGC 5764,14,53,32,-,52,40,12,,3.0,2800,1.0,8.3,-3.05,0.33,-3.56,0.36,60,D14,,,0,,,,0,3-1-p-*
ESO 008 06,14,55,12,-,83,25,24,,10.0,1380,0.312,9.3,-6.3,0.38,-5.41,0.28,67,D14,,,0,,,,0,4-3-p-*
Ruprecht 112,14,56,50,-,62,33,0,,10.0,1764,0.833,8.74,-5.01,0.18,-2.72,0.13,427,D14,,,0,,,,0,3-1-r-*
NGC 5800,15,1,47,-,51,55,6,,11.0,1170,0.06,9.2,-1.94,0.26,-0.91,0.19,311,D14,,,0,,,,0,4-3-vp-*
Majaess 160,15,3,26,-,63,23,15,IR,6.0,0,,,-10.23,1.92,-4.45,0.88,19,D14,,,0,,,,0,
NGC 5822,15,4,21,-,54,23,48,,35.0,933,0.103,8.95,-6.86,0.07,-3.53,0.06,3025,D14,-29.31,0.18,20,MMU,0.05,0.04,3,
ASCC 78,15,5,6,-,68,23,24,,19.2,2400,0.0,8.48,-3.77,0.14,-3.08,0.1,918,D14,-14.56,5.51,8,RAVE,-0.062,0.042,7,
NGC 5823,15,5,30,-,55,36,12,,12.0,1192,0.09,8.9,-5.63,0.17,-1.57,0.18,422,D14,-19.27,0.18,1,MMU,,,0,
FSR 1697,15,6,42,-,56,31,58,IR,1.0,912,0.625,8.06,-14.75,0.69,-0.25,2.11,3,D14,,,0,,,,0,
Loden 2115,15,7,42,-,54,30,0,,20.0,1434,0.677,8.96,-7.58,0.14,-2.72,0.11,859,D14,,,0,,,,0,
Loden 2045,15,10,24,-,58,47,0,d,20.0,2056,1.041,6.8,-4.74,0.13,-4.3,0.11,580,D14,,,0,,,,0,
Pismis 20,15,15,23,-,59,4,0,,4.0,3272,1.28,6.864,-5.3,0.35,-5.62,0.49,119,D14,-49.0,6.8,1,D14,,,0,
Pismis 21,15,16,49,-,59,40,0,a,4.0,1174,0.625,8.11,-4.58,0.24,-4.45,0.32,100,D14,,,0,,,,0,1-3-p-*
Lynga 3,15,16,49,-,58,22,0,,5.0,4164,1.562,8.915,-10.04,0.53,-3.89,0.46,75,D14,,,0,,,,0,3-1-p-*
ASCC 79,15,19,12,-,60,43,48,,62.4,800,0.16,6.86,-2.67,0.45,-4.1,0.42,40,K05,-1.01,3.55,3,D14,,,0,
FSR 1698,15,20,58,-,59,37,40,IR,4.0,1562,0.874,8.56,-6.07,0.32,-4.12,0.45,98,D14,,,0,,,,0,
ASCC 80,15,24,36,-,60,8,24,,30.0,1500,0.17,7.93,-5.45,0.09,-3.32,0.09,2794,D14,-25.0,20.0,1,D14,,,0,
NGC 5925,15,27,26,-,54,31,42,,11.0,1170,0.06,9.2,-1.86,0.11,-3.8,0.13,436,D14,,,0,,,,0,3-2-r-*
ESO 329 02,15,27,32,-,41,3,12,nf,8.0,1546,0.167,9.3,-5.03,0.38,-4.24,0.32,128,D14,,,0,,,,0,
Alessi 8,15,29,33,-,51,14,0,,24.0,575,0.09,8.15,-6.13,1.73,-5.8,1.73,22,AMD,,,0,,,,0,4-3-p-*
ESO 099 06,15,29,48,-,64,51,48,,8.0,2231,0.2,9.2,-5.88,0.37,-3.06,0.41,200,D14,,,0,,0.04,0.42,0,4-3-p-*
Lynga 4,15,33,19,-,55,14,11,,6.0,1100,0.7,9.11,-3.01,0.01,-1.88,0.4,64,D14,,,0,,,,0,2-2-m-*
Loden 2159,15,33,39,-,58,9,0,d,29.0,6111,1.77,8.5,-1.82,0.08,-2.26,0.07,1819,D14,,,0,,,,0,
Harvard 9,15,33,46,-,53,40,0,,6.0,1478,0.937,8.25,-1.81,0.08,-2.53,0.01,104,D14,,,0,,,,0,4-2-p-*
Loden 2158,15,35,0,-,58,16,0,d,32.0,6206,1.666,8.5,-2.84,0.07,-2.37,0.06,3076,D14,,,0,,,,0,
Loden 2313,15,40,49,-,52,26,0,,21.0,1076,0.281,8.29,-2.92,0.12,-5.59,0.12,1011,D14,,,0,,,,0,4-1-p-*
Lynga 5,15,41,54,-,56,39,0,,10.0,1753,0.874,8.975,-1.25,0.14,-2.74,0.17,304,D14,,,0,,,,0,3-1-p-*
Loden 2326,15,43,33,-,52,28,30,,1.6,900,0.41,8.3,-3.33,1.04,-6.48,1.34,29,D14,,,0,,,,0,
Johansson 1,15,46,20,-,52,22,54,,29.0,570,0.17,8.3,-3.57,0.12,-6.8,0.12,1363,D14,-13.0,7.4,1,D14,,,0,
ASCC 81,15,46,55,-,50,58,48,,31.2,700,0.15,8.38,-3.76,0.1,-4.88,0.1,1511,D14,,,0,,,,0,
ASCC 82,15,47,24,-,64,24,36,,36.0,800,0.0,8.67,-4.52,0.08,-4.31,0.08,3502,D14,,,0,,,,0,
