Cluster,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Class,Diam,Dist,E(B-V),Age,pmRA,e_pmRA,pmDE,e_pmDE,Nc,r_pmRA,RV,e_RV,o_RV,r_RV,[Fe/H],e_[Fe/H],o_[Fe/H],TrType
NGC 2250,6,33,47,-,5,5,18,,4.0,1795,0.48,8.78,-1.16,0.43,0.7,0.45,44,D14,,,0,,,,0,4-2-p-*
Basel 8,6,34,12,+,8,5,0,,29.0,1328,0.37,8.102,-2.41,0.1,1.52,0.11,899,D14,11.0,7.4,1,D14,,,0,
FSR 1063,6,34,38,-,0,16,1,IR,5.0,2032,0.5,8.86,-0.66,0.11,-2.36,0.01,53,D14,,,0,,,,0,
NGC 2251,6,34,38,+,8,22,0,,10.0,1329,0.186,8.427,-1.13,0.16,-0.17,0.2,169,D14,25.33,0.05,3,MMU,-0.1,0.05,2,
NGC 2252,6,34,42,+,5,22,0,,18.0,900,0.1,8.84,0.1,0.09,-1.53,0.1,410,D14,,,0,,,,0,3-2-m-n
NGC 2254,6,35,49,+,7,40,24,,5.0,2364,0.398,8.307,0.53,0.17,1.78,0.25,110,D14,,,0,,,,0,
FSR 1065,6,35,59,-,0,40,4,IR,0.6,1551,0.458,8.79,1.06,0.43,-1.19,0.43,112,K14,,,0,,,,0,
ESO 426 26,6,36,18,-,30,51,30,cr,5.0,1240,0.04,9.0,1.98,0.62,-1.0,0.54,35,D14,,,0,,,,0,
Ruprecht 1,6,36,21,-,14,8,49,,16.0,1480,0.17,8.68,0.49,0.01,-0.66,0.04,367,D14,,,0,,-0.25,0.18,0,3-1-p-*
Collinder 104,6,36,30,+,4,49,0,,20.0,2025,0.833,8.5,-0.03,0.14,-1.03,0.18,336,D14,6.33,3.7,2,D14,,,0,4-2-p-n
Basel 7,6,36,36,+,8,21,0,,5.0,1684,0.396,8.033,0.31,0.05,0.47,0.44,46,D14,,,0,,,,0,
Majaess 82,6,36,40,+,5,36,2,IR,3.0,0,,,-22.96,0.27,6.51,0.04,8,D14,,,0,,,,0,
Trumpler 5,6,36,42,+,9,26,0,v,15.4,2820,0.62,9.6,0.77,0.09,0.59,0.0,503,D14,,,0,,-0.403,0.006,3,
vdBergh 1,6,37,0,+,3,4,0,,5.0,1687,0.71,8.025,3.76,2.77,-4.78,2.26,1,BDW,16.4,2.4,1,D14,,,0,
Collinder 106,6,37,6,+,5,57,0,,35.0,1000,0.12,9.9,0.75,0.06,-1.11,0.08,1498,D14,35.66,2.27,7,D14,-0.26,0.04,3,4-2-p-*
Collinder 107,6,37,42,+,4,44,0,,29.0,1738,0.54,7.0,0.37,0.08,-1.29,0.1,777,D14,12.31,3.01,8,D14,,,0,
Berkeley 24,6,37,47,-,0,52,19,,7.0,4700,0.4,9.34,-0.85,0.24,1.18,0.15,82,D14,,,0,,,,0,2-2-p-*
NGC 2260,6,38,3,-,1,28,24,,20.0,1985,1.25,7.0,-0.64,0.13,-2.1,0.14,367,D14,,,0,,,,0,
NGC 2259,6,38,21,+,10,53,0,,3.0,3311,0.59,8.5,2.79,0.43,-0.96,0.01,51,D14,,,0,,0.07,,0,2-1-p-n
Collinder 110,6,38,24,+,2,1,0,,18.0,1950,0.5,9.15,-1.31,0.04,-3.28,0.08,491,D14,38.7,0.8,29,C14,-0.02,0.11,6,
Collinder 111,6,38,42,+,6,54,0,nf,3.0,1191,0.062,7.7,1.19,0.52,0.16,0.02,31,D14,32.0,0.0,1,K14,,,0,
NGC 2262,6,39,38,+,1,8,36,,5.0,3600,0.55,9.0,-0.71,0.41,-0.76,0.13,103,D14,,,0,,-0.38,0.5,0,2-1-m-*
FSR 1053,6,39,56,+,1,32,48,IR,1.6,1202,0.312,8.8,-2.8,0.67,-6.39,0.64,19,D14,,,0,,,,0,
FSR 0975,6,40,0,+,13,17,58,IR,4.5,4626,0.541,9.1,2.11,0.01,2.86,0.42,77,D14,,,0,,,,0,
vdBergh 83,6,40,0,-,27,19,0,,25.0,1925,0.552,9.35,0.64,0.15,1.91,0.21,302,D14,,,0,,,,0,3-2-p-n
NGC 2264,6,40,58,+,9,53,42,v,39.0,667,0.051,6.954,-0.46,0.03,-2.87,0.05,726,D14,24.69,0.98,9,FM09,-0.15,,0,
Berkeley 25,6,41,0,-,16,31,0,,5.0,11400,0.11,9.7,-3.68,0.19,-4.17,0.02,44,D14,134.3,0.2,4,CGVF,-0.2,0.05,4,1-2-m-*
Ruprecht 2,6,41,1,-,29,33,0,nf,3.0,3161,0.625,8.945,-9.75,1.37,5.84,1.6,7,D14,,,0,,,,0,4-2-p-*
NGC 2265,6,41,41,+,11,54,18,,12.0,2160,0.48,8.48,-0.0,0.1,-1.29,0.13,223,D14,,,0,,,,0,
FSR 1077,6,41,56,-,0,53,48,IR,2.5,1298,0.416,8.935,0.83,0.46,-0.07,0.46,116,K14,,,0,,,,0,
DC 1,6,42,1,-,12,58,27,,0.7,0,,,,,,,0,,,,0,,,,0,
Ruprecht 3,6,42,7,-,29,27,15,cr,4.0,1100,0.0,9.18,-0.87,0.6,5.57,1.33,22,D14,,,0,,,,0,3-1-p-*
Dolidze 23,6,42,55,+,0,2,46,d,12.7,625,0.1,,-0.69,0.09,-1.81,0.14,367,D14,,,0,,,,0,4-3-p-*
Alessi 15,6,43,4,+,1,40,19,,0.9,1599,0.27,9.25,1.29,0.58,3.31,0.58,16,K14,,,0,,,,0,
NGC 2269,6,43,17,+,4,37,30,,3.0,1687,0.398,8.416,5.05,0.19,1.49,0.23,11,D14,,,0,,,,0,
NGC 2266,6,43,19,+,26,58,12,,5.0,3000,0.2,8.8,0.93,0.48,-5.03,0.39,114,D14,-16.0,15.0,4,RCar,-0.38,0.06,3,
Alessi 16,6,43,35,+,2,10,24,,0.5,1191,0.27,9.05,-0.98,0.63,-2.14,0.63,9,K14,,,0,,,,0,
Teutsch 13,6,43,55,+,1,24,17,,6.0,2780,0.67,7.48,-0.92,0.32,-1.64,0.34,86,D14,,,0,,,,0,
NGC 2270,6,43,57,+,3,28,42,n,14.0,1400,0.06,8.64,0.21,0.08,-1.99,0.18,208,D14,40.0,0.0,1,K05,,,0,
Dolidze 24,6,44,41,+,1,41,5,OC,18.8,1261,0.146,8.45,-0.57,0.11,-1.24,0.11,510,D14,,,0,,,,0,
Patchick 90,6,44,43,-,0,32,22,,3.0,6310,0.41,8.95,9.39,0.19,1.43,0.58,33,D14,,,0,,,,0,
Dolidze 25,6,45,6,+,0,18,0,,20.0,6800,0.8,6.8,-0.29,0.05,-1.79,0.07,596,D14,71.0,30.0,0,RGDZ,,,0,
SAI 69,6,45,28,-,11,47,40,,3.0,7140,0.35,9.1,0.02,0.09,-10.19,0.14,3,D14,,,0,,,,0,
ASCC 25,6,45,32,+,24,36,0,,25.2,1400,0.16,8.86,-2.06,0.08,-3.99,0.05,619,D14,21.5,2.4,1,D14,,,0,
NGC 2287,6,46,1,-,20,45,24,,39.0,710,0.01,8.4,-0.84,0.07,-0.56,0.08,1738,D14,23.3,0.11,5,MMU,-0.23,0.02,3,
Collinder 115,6,46,30,+,1,46,0,,10.0,1917,0.23,8.55,-1.0,0.09,-1.5,0.14,221,D14,,,0,,,,0,4-2-m-*
vdBergh 85,6,46,54,+,1,20,0,,4.0,1641,1.92,7.85,0.17,0.11,1.23,0.25,39,D14,,,0,,,,0,1-2-p-*
Dolidze 49,6,47,4,-,0,0,25,OC,2.2,2398,0.625,8.33,-1.06,0.48,-2.17,0.48,23,K14,,,0,,,,0,
NGC 2286,6,47,40,-,3,8,54,,14.0,2600,0.66,8.3,2.08,2.37,-2.48,1.93,2,BDW,,,0,,,,0,
NGC 2281,6,48,17,+,41,4,42,,25.0,558,0.063,8.554,-2.48,0.1,-6.76,0.12,330,D14,19.05,0.04,2,MMU,0.13,0.11,0,
Bochum 2,6,48,54,+,0,23,0,,1.5,2661,0.831,6.665,-0.05,0.04,-1.68,0.07,21,D14,66.3,4.4,0,RGDZ,,,0,
Ruprecht 4,6,48,54,-,10,32,0,,3.0,4700,0.3,8.9,0.94,0.64,-4.3,0.01,52,D14,47.5,1.0,3,CGVF,-0.09,0.05,3,3-2-m-*
Berkeley 75,6,49,1,-,23,59,48,,4.0,9100,0.04,9.6,-4.56,0.37,-9.82,0.39,16,D14,94.6,0.35,1,CGVF,-0.22,0.2,1,2-2-p-*
Berkeley 26,6,50,18,+,5,45,0,,4.0,12589,0.75,9.6,2.7,0.66,-1.44,0.02,27,D14,68.0,12.0,6,RC12,-0.35,0.17,5,3-1-m-*
ASCC 26,6,50,24,+,7,15,0,,20.4,800,0.13,8.09,-0.73,0.09,-3.14,0.1,463,D14,8.0,7.4,1,D14,,,0,
FSR 1025,6,50,30,+,6,36,14,IR,1.0,2095,0.291,8.6,-0.41,1.3,-3.38,3.85,8,D14,,,0,,,,0,
ESO 309 03,6,50,39,-,42,23,24,,6.0,1753,0.48,8.8,-0.2,0.53,1.93,0.98,47,D14,,,0,,,,0,4-2-vp-*
Berkeley 27,6,51,21,+,5,46,7,,2.0,5035,0.05,9.3,-4.2,0.47,-1.52,0.47,21,K14,,,0,,,,0,2-2-m-*
NGC 2301,6,51,45,+,0,27,36,,14.0,870,0.03,8.2,-0.83,0.03,-2.76,0.03,355,D14,13.54,0.12,1,MMU,0.06,0.06,2,
NGC 2302,6,51,55,-,7,5,0,,5.0,1500,0.23,7.08,-2.66,0.23,-1.86,0.29,61,D14,,,0,,,,0,
Berkeley 28,6,52,12,+,2,56,0,,3.0,2557,0.761,7.846,1.68,0.02,-1.54,0.02,36,D14,,,0,,,,0,
FSR 1051,6,52,13,+,3,38,30,IR,2.0,1180,0.437,8.79,0.13,0.33,-1.92,0.33,131,K14,,,0,,,,0,
Alessi 59,6,52,19,+,2,11,27,,2.5,3500,0.59,7.6,0.85,0.38,-2.37,0.38,33,K14,,,0,,,,0,
Ruprecht 149,6,52,30,-,23,40,0,d,5.0,2362,0.416,8.75,-0.3,0.34,1.31,0.43,54,D14,,,0,,,,0,3-2-p-*
FSR 1085,6,53,11,-,0,11,31,IR,4.0,1429,0.079,8.735,-0.03,0.17,-2.51,0.07,72,D14,,,0,,,,0,
Berkeley 29,6,53,18,+,16,55,0,,6.0,14871,0.157,9.025,-2.26,0.46,-5.99,0.55,75,D14,24.8,0.1,2,KBVM,-0.31,0.03,6,
ASCC 27,6,53,53,-,4,23,24,,24.0,1200,0.09,8.75,-0.78,0.09,0.69,0.09,546,D14,,,0,,,,0,
DC 4,6,54,3,-,13,34,3,,0.7,2304,0.583,8.7,4.88,0.75,-3.34,0.75,8,K14,,,0,,,,0,
FSR 1029,6,54,4,+,6,43,39,IR,1.2,1905,0.312,8.93,0.27,0.38,-8.05,1.12,18,D14,,,0,,,,0,
ASCC 28,6,54,4,-,0,10,12,,36.0,800,0.05,8.34,-1.68,0.26,-1.1,0.36,18,K05,22.7,1.78,1,D14,,,0,
ASCC 29,6,54,18,-,1,39,0,,26.4,750,0.05,8.06,2.06,0.07,-3.38,0.09,1019,D14,13.5,10.0,1,K07,,,0,
NGC 2306,6,54,29,-,7,12,12,n,12.0,1200,0.05,8.85,2.19,0.21,-3.86,0.23,216,D14,,,0,,,,0,
NGC 2304,6,55,13,+,17,58,57,,10.0,4400,0.1,8.8,-1.49,0.21,-6.24,0.2,197,D14,,,0,,-0.32,,0,2-1-m-*
Ruprecht 5,6,55,14,-,18,36,0,,2.0,4712,0.416,9.15,1.37,0.64,1.45,0.64,27,K14,,,0,,,,0,4-1-p-*
SAI 72,6,55,48,+,0,13,37,,5.0,3150,0.82,8.5,1.47,0.16,-1.06,0.41,54,D14,,,0,,,,0,
Ruprecht 6,6,56,0,-,13,17,0,d,1.0,7691,0.43,9.5,0.66,0.72,1.21,0.72,36,K14,,,0,,-0.38,,0,3-1-p-*
NGC 2309,6,56,3,-,7,10,30,,5.0,2511,0.35,8.4,3.46,0.32,-4.53,0.29,101,D14,,,0,,,,0,
Collinder 121,6,56,20,-,24,43,46,,60.0,1100,0.04,7.08,-3.87,0.34,4.08,0.35,19,K05,31.35,3.95,2,K07,,,0,
ASCC 30,6,57,0,-,6,12,36,,31.2,800,0.15,8.2,-2.89,0.42,0.6,0.34,16,K05,,,0,,,,0,
FSR 1144,6,57,16,-,6,37,12,IR,0.6,1737,0.312,8.18,0.84,0.37,0.81,0.37,131,K14,,,0,,,,0,
Berkeley 31,6,57,36,+,8,16,0,,5.0,8272,0.08,9.313,-2.43,0.21,-2.33,0.01,77,D14,55.7,0.7,2,YCA,-0.4,0.16,17,
Berkeley 33,6,57,42,-,13,13,0,,3.0,6000,0.36,8.9,-1.36,0.47,4.36,0.52,31,D14,76.6,0.5,5,CGVF,-0.26,0.05,5,
Berkeley 30,6,57,42,+,3,13,0,,3.0,4790,0.5,8.48,-0.84,0.01,-3.47,0.35,56,D14,,,0,,,,0,
NGC 2311,6,57,47,-,4,36,42,,6.0,2290,0.33,8.6,-1.48,0.01,3.31,0.01,99,D14,,,0,,,,0,
Berkeley 32,6,58,6,+,6,26,0,,6.0,3078,0.15,9.7,-1.41,0.38,-0.86,0.08,117,D14,105.2,0.86,83,RPPB,-0.29,0.04,9,
FSR 1080,6,58,16,+,0,51,54,IR,2.4,1753,0.562,8.37,-1.99,0.36,-4.54,0.36,122,K14,,,0,,,,0,
NGC 2312,6,58,47,+,10,17,42,,7.6,2245,0.16,8.52,-3.54,0.24,-2.32,0.28,119,D14,,,0,,,,0,
FSR 1163,6,59,19,-,9,5,50,IR,1.5,1706,0.437,9.15,3.49,1.18,-1.42,0.6,28,D14,,,0,,,,0,
NGC 2318,6,59,27,-,13,41,54,,20.0,1335,0.65,7.7,-1.04,0.04,0.17,0.09,594,D14,,,0,,,,0,
Ivanov 9,6,59,43,-,4,4,0,,1.0,736,0.02,7.9,1.89,0.06,1.44,0.11,7,D14,,,0,,,,0,
FSR 1171,7,0,13,-,10,19,14,IR,2.0,4110,0.65,9.5,4.7,0.47,-1.26,0.47,44,K14,,,0,,,,0,
Wit 1,7,0,21,-,5,49,36,,,1952,0.458,6.35,-0.38,0.63,-1.97,0.63,47,K14,5.0,0.0,1,K14,,,0,
Berkeley 34,7,0,23,-,0,13,56,,2.0,7280,0.45,9.45,-2.68,0.71,-2.16,0.71,15,K14,,,0,,,,0,3-1-m-*
Ferrero 10,7,0,27,-,3,0,36,,10.0,0,,,0.22,0.19,5.57,0.19,179,D14,,,0,,,,0,
Tombaugh 1,7,0,29,-,20,34,0,,5.0,4169,0.303,8.98,-5.31,0.36,5.17,0.01,118,D14,81.1,2.5,6,SCAM,,,0,
Ivanov 4,7,0,32,-,8,52,0,,4.0,717,0.21,7.0,6.11,0.48,-17.42,0.32,25,D14,,,0,,,,0,
NGC 2319,7,0,32,+,3,2,30,n,18.0,1100,0.05,8.61,-1.09,0.13,-3.09,0.17,413,D14,,,0,,,,0,
ASCC 31,7,0,54,+,3,30,0,,20.4,600,0.15,8.63,-1.08,0.13,-1.47,0.1,532,D14,,,0,,,,0,
Wit 2,7,1,27,-,3,7,3,,,2830,0.437,8.785,-5.15,0.36,0.1,0.36,177,K14,,,0,,,,0,
Ruprecht 8,7,1,42,-,13,35,0,d,3.0,2190,0.458,8.845,5.42,0.12,-12.1,0.06,6,D14,,,0,,,,0,4-1-p-*
Alessi 33,7,1,59,-,26,30,12,,60.0,750,0.08,8.18,-1.47,0.04,2.32,0.05,3371,D14,,,0,,,,0,
Ruprecht 9,7,2,7,-,21,55,0,nf,1.0,3434,0.687,8.795,-5.31,0.29,5.85,0.03,15,D14,,,0,,,,0,
Alessi 60,7,2,30,-,1,7,51,,5.0,2906,0.31,8.4,-0.96,0.19,-1.06,0.34,103,D14,,,0,,,,0,
NGC 2323,7,2,42,-,8,23,0,,14.0,950,0.2,8.0,0.86,0.03,-3.06,0.1,377,D14,14.7,1.29,6,FM09,,,0,
NGC 2348,7,3,3,-,67,24,42,p,10.0,1070,0.13,9.26,-3.37,0.51,6.47,1.1,60,D14,,,0,,,,0,
Tombaugh 2,7,3,5,-,20,49,0,,3.0,6080,0.3,9.01,-1.72,0.01,3.86,0.45,65,D14,120.9,0.4,13,VR10,-0.31,0.02,13,
ASCC 33,7,3,11,-,25,3,0,,108.0,800,0.05,7.26,-3.78,0.3,3.78,0.23,62,K05,16.15,7.57,2,D14,-0.166,0.08,3,
Czernik 27,7,3,12,+,6,25,0,,3.0,4285,0.07,9.05,-2.32,0.02,-1.94,0.61,41,D14,,,0,,-0.38,,0,2-2-p-*
Bochum 3,7,3,24,-,5,3,0,,4.0,1762,0.24,7.89,0.27,0.3,-0.62,0.45,74,D14,,,0,,,,0,
vdBergh 92,7,3,54,-,11,32,0,,3.0,1500,0.25,7.59,-2.1,0.38,3.87,0.54,26,D14,17.5,0.29,4,K07,,,0,4-2-p-n
NGC 2324,7,4,7,+,1,2,42,,10.6,3800,0.25,8.65,-2.6,0.17,1.35,0.18,316,D14,41.81,0.22,5,MMU,-0.17,0.05,7,
Auner 1,7,4,16,-,19,45,0,e,6.0,8900,0.32,9.51,-1.85,0.07,0.45,0.01,85,D14,,,0,,-0.5,,0,2-2-m-*
FSR 1150,7,4,37,-,6,36,38,IR,3.0,5664,0.729,8.8,-0.91,0.01,-1.63,0.01,56,D14,,,0,,,,0,
BDSB96,7,5,18,-,12,19,44,e,22.0,1400,0.37,6.7,-1.38,0.08,-0.69,0.06,510,D14,,,0,,,,0,
Ruprecht 150,7,5,55,-,28,25,0,,2.0,1789,0.271,8.7,-1.6,0.52,1.17,0.52,65,K14,,,0,,,,0,2-3-p-*
Haffner 4,7,6,12,-,14,59,0,,5.0,4500,0.5,8.7,0.25,0.01,-0.39,0.01,72,D14,,,0,,-0.38,,0,3-2-m-*
ESO 427 32,7,6,14,-,30,10,0,,10.0,1786,0.125,9.105,0.98,0.19,1.98,0.28,114,D14,,,0,,,,0,2-2-m-*
Ruprecht 10,7,6,29,-,20,6,32,,4.0,2900,0.38,9.04,-0.55,0.51,4.49,0.51,53,D14,,,0,,,,0,4-2-p-*
Berkeley 76,7,6,40,-,11,44,0,,5.0,12600,0.55,9.18,0.15,0.22,2.6,0.56,70,D14,,,0,,,,0,4-1-m-*
NGC 2335,7,6,49,-,10,1,42,,6.0,1417,0.393,8.21,-0.91,1.56,-3.18,1.25,1,BDW,-3.59,0.3,1,MMU,-0.18,0.03,1,
Collinder 465,7,6,52,-,10,32,18,nf,9.0,5410,0.416,8.8,-0.02,0.06,1.15,0.01,117,D14,,,0,,,,0,
Collinder 466,7,6,56,-,10,42,54,,4.0,2123,0.46,8.8,-0.1,0.62,0.82,0.25,60,D14,,,0,,,,0,4-1-p-n
NGC 2331,7,6,59,+,27,15,42,,14.0,1285,0.06,9.23,-0.48,0.19,-1.05,0.33,96,D14,,,0,,,,0,4-2-m-*
FSR 1209,7,7,4,-,13,50,51,IR,0.6,2964,0.437,9.12,-0.89,0.49,-2.49,0.49,95,K14,,,0,,,,0,
Ruprecht 12,7,7,10,-,28,12,0,,5.0,900,0.05,7.56,-2.0,0.42,2.72,0.42,54,D14,,,0,,,,0,4-1-p-*
Ruprecht 11,7,7,21,-,20,48,0,,5.0,1870,0.17,9.18,-0.71,0.28,2.0,0.45,64,D14,,,0,,,,0,3-2-p-*
FSR 1202,7,7,26,-,12,47,54,IR,4.5,2436,0.208,9.225,0.27,0.4,-0.21,0.44,63,D14,,,0,,,,0,
FSR 1170,7,7,27,-,8,52,3,IR,1.6,2276,0.666,8.755,0.83,0.02,-1.82,0.02,30,D14,,,0,,,,0,
NGC 2338,7,7,47,-,5,43,12,,7.0,1800,0.48,8.74,-0.43,0.23,0.27,0.21,139,D14,,,0,,,,0,
Ruprecht 13,7,7,51,-,25,52,11,,4.5,1300,0.26,9.0,-2.15,0.13,-0.96,0.01,54,D14,,,0,,,,0,4-2-p-*
NGC 2343,7,8,6,-,10,37,0,,5.0,1056,0.118,7.104,-2.09,2.79,-1.41,2.08,1,BDW,14.89,0.15,1,MMU,-0.3,0.15,0,
NGC 2345,7,8,18,-,13,11,36,,12.0,2251,0.616,7.853,-0.56,0.04,-0.04,0.01,342,D14,59.19,0.36,4,MMU,,,0,
FSR 1204,7,8,20,-,12,53,28,IR,1.2,1706,0.312,9.32,-2.58,1.27,2.95,0.44,19,D14,,,0,,,,0,
FSR 1113,7,9,9,-,1,30,43,IR,0.8,5805,0.562,8.3,1.12,0.66,-4.78,0.66,15,K14,,,0,,,,0,
Haffner 23,7,9,24,-,16,57,0,d,11.0,1000,0.1,8.84,2.07,0.22,-1.11,0.17,242,D14,,,0,,,,0,4-2-m-*
Berkeley 35,7,9,56,+,2,44,1,,6.0,4390,0.47,8.95,-3.29,0.04,3.34,0.24,115,D14,,,0,,-0.13,0.18,0,2-1-m-*
OCl 374,7,10,12,+,75,12,12,p,4.5,1900,1.27,7.85,-5.51,0.73,-11.15,1.23,6,D14,,,0,,,,0,
ASCC 34,7,10,30,+,6,4,12,,36.0,550,0.04,8.55,-2.36,0.78,-1.87,0.32,9,K05,,,0,,,,0,
Dias 3,7,10,31,-,8,25,39,,16.0,4650,0.64,9.15,1.67,0.14,-2.33,0.12,384,D14,,,0,,,,0,
Alessi 21,7,10,47,-,9,20,12,,42.0,500,0.07,7.47,-4.0,1.3,2.8,1.3,11,ALE,38.8,1.78,1,D14,,,0,
NGC 2349,7,10,48,-,8,35,36,,18.0,1628,0.61,8.88,0.71,0.12,-2.23,0.07,545,D14,,,0,,,,0,
ASCC 35,7,12,40,+,2,7,12,,48.0,800,0.06,8.49,-2.68,0.39,-0.94,0.31,19,K05,,,0,,,,0,
NGC 2352,7,13,5,-,24,2,18,,6.0,1750,0.32,8.08,-2.13,0.3,4.3,0.37,125,D14,,,0,,,,0,
FSR 1183,7,13,22,-,9,52,18,IR,6.0,1634,0.416,8.585,-2.9,0.18,-3.22,0.16,102,D14,,,0,,,,0,
NGC 2351,7,13,31,-,10,29,12,,10.0,1882,0.92,8.38,-4.02,0.21,-1.54,0.13,190,D14,,,0,,,,0,
NGC 2354,7,14,10,-,25,41,24,,18.0,1750,0.18,9.18,-2.92,0.1,1.67,0.12,626,D14,33.45,0.35,8,MMU,-0.3,0.02,12,
FSR 1153,7,14,22,-,5,40,14,IR,1.3,3095,0.146,8.065,-2.69,0.59,-0.9,0.02,20,D14,,,0,,,,0,
NGC 2353,7,14,30,-,10,16,0,,18.0,1170,0.1,8.1,-3.92,0.07,-1.18,0.09,491,D14,18.78,1.44,7,FM09,,,0,
ASCC 36,7,14,31,-,21,7,12,,21.6,750,0.0,8.51,-1.89,0.06,0.25,0.11,670,D14,,,0,,,,0,
Ruprecht 14,7,14,55,-,31,22,0,nf,3.0,4023,0.396,9.06,-1.09,0.33,1.37,0.41,30,D14,,,0,,,,0,4-1-p-*
Collinder 132,7,15,20,-,30,41,0,,80.0,472,0.037,7.08,-2.01,0.34,2.9,0.34,110,TYC,26.58,5.86,3,D14,,,0,
Berkeley 36,7,16,24,-,13,11,35,,5.0,6140,0.4,9.5,-1.15,0.01,2.32,0.59,50,D14,,,0,,,,0,3-1-m-*
Alessi 3,7,16,29,-,46,41,6,,72.0,288,0.11,8.7,-11.49,2.14,12.37,2.14,22,AMD,20.0,7.4,1,K07,-0.275,0.065,1,4-3-p-*
NGC 2358,7,16,56,-,17,7,0,n,20.0,630,0.02,8.72,-0.88,0.07,1.34,0.12,618,D14,,,0,,,,0,
NGC 2355,7,16,59,+,13,45,0,,7.0,1949,0.22,8.9,-2.5,0.8,-3.0,1.5,38,SOC,35.02,0.16,7,MMU,-0.08,0.08,5,
ESO 367 10,7,17,5,-,35,16,48,,3.0,3027,0.916,8.315,-5.78,0.08,26.59,4.45,2,D14,,,0,,,,0,4-2-m-*
Basel 11a,7,17,6,-,13,58,0,,5.0,1520,0.0,8.3,-0.94,0.01,0.33,0.07,94,D14,,,0,,,,0,
Collinder 135,7,17,17,-,36,49,0,,50.0,316,0.032,7.407,-10.7,0.26,5.3,0.26,18,TYC,15.85,0.99,4,D14,-0.219,0.093,5,
NGC 2360,7,17,43,-,15,38,30,,13.0,1120,0.01,8.8,-3.51,1.49,8.07,1.57,2,BDW,27.28,0.18,18,MMU,-0.03,0.01,3,
ASCC 37,7,18,4,-,24,28,48,,19.2,1600,0.0,8.73,-1.71,0.11,3.61,0.12,719,D14,13.5,0.0,1,K14,,,0,
ESO 559 02,7,18,5,-,18,35,42,,1.0,0,,,-3.56,0.34,5.53,0.81,9,D14,,,0,,,,0,1-2-P-*
Teutsch 49,7,18,28,-,17,36,47,,8.4,3840,1.6,8.9,0.54,0.2,1.48,0.23,108,D14,,,0,,,,0,
Majaess 86,7,18,31,-,18,22,15,IR,11.0,0,,,0.58,0.07,0.48,0.15,182,D14,,,0,,,,0,
NGC 2362,7,18,41,-,24,57,18,,5.0,1480,0.1,6.7,-2.29,0.63,3.03,0.93,2,BDW,36.43,6.62,4,D14,,,0,
Bica 4,7,19,7,-,22,1,40,,2.5,3930,0.94,7.8,-6.81,0.57,2.88,0.57,16,K14,19.0,2.0,2,K14,,,0,
Ruprecht 15,7,19,33,-,19,38,0,,2.0,3416,0.37,8.7,-0.21,0.5,6.12,0.5,98,K14,,,0,,,,0,3-1-p-*
NGC 2367,7,20,6,-,21,52,54,,5.0,1400,0.05,6.7,-2.56,0.07,-0.13,0.38,49,D14,33.1,5.37,3,D14,,,0,
Haffner 6,7,20,6,-,13,8,0,,6.0,3054,0.45,8.826,-0.55,0.1,3.58,0.01,95,D14,,,0,,,,0,
Berkeley 37,7,20,24,-,1,6,0,,4.0,5250,0.05,8.8,-2.44,0.03,5.44,0.3,43,D14,,,0,,-0.05,0.08,0,3-2-p-*
NGC 2364,7,20,46,-,7,33,0,,13.0,1919,0.31,8.3,0.88,0.21,-2.57,0.16,312,D14,,,0,,,,0,
FSR 1255,7,20,53,-,19,38,51,IR,2.6,1023,0.0,8.495,-2.59,0.5,4.81,0.5,66,K14,,,0,,,,0,
Saurer 1,7,20,56,+,1,48,29,,2.6,13200,0.14,9.7,3.46,0.84,-6.73,0.84,12,K14,98.0,9.0,4,FMMF,-0.38,0.14,2,
Juchert 12,7,20,57,-,22,52,0,,2.0,2128,0.87,7.85,,,,,0,,,,0,,,,0,
Berkeley 77,7,21,27,-,3,14,1,,6.2,4630,0.12,8.8,-1.8,0.22,0.56,0.17,122,D14,,,0,,,,0,1-2-m-*
King 23,7,21,47,-,0,59,6,,7.2,3113,0.16,8.95,-2.15,0.28,2.25,0.01,147,D14,,,0,,,,0,3-2-p-*
Wit 3,7,22,2,-,8,58,46,,,0,,,,,,,0,,,,0,,,,0,
Haffner 7,7,22,55,-,29,30,0,,3.0,4500,0.13,9.18,-1.69,0.22,2.18,0.44,65,D14,,,0,,,,0,2-3-m-*
Ruprecht 16,7,23,13,-,19,27,5,,3.5,2160,0.71,8.2,-1.25,0.6,0.07,0.29,72,D14,,,0,,,,0,4-1-p-*
Haffner 8,7,23,24,-,12,20,0,,5.0,2380,0.032,8.5,-3.6,0.01,-0.73,0.01,70,D14,,,0,,0.06,0.04,2,
Ruprecht 17,7,23,36,-,23,11,0,,3.0,1263,0.291,8.325,-2.93,0.31,5.08,0.79,29,D14,,,0,,,,0,4-1-p-*
Berkeley 78,7,23,38,+,5,22,15,,6.0,4800,0.01,9.45,0.77,0.01,-4.54,0.33,77,D14,59.1,2.8,1,K14,,,0,2-1-p-*
NGC 2374,7,23,56,-,13,15,48,,12.0,1468,0.09,8.463,-1.78,0.11,-0.76,0.13,331,D14,29.25,0.22,1,MMU,,,0,
Majaess 88,7,24,7,-,25,53,56,IR,6.0,0,,,-7.28,0.17,15.9,0.04,5,D14,,,0,,,,0,
Ivanov 6,7,24,14,-,24,38,0,,4.5,442,1.08,7.2,0.79,1.02,0.2,1.73,21,D14,,,0,,,,0,
