recno	P	Cluster	RAJ2000	DEJ2000	Class	Diam	Dist	E(B-V)	Age	r_pmRA	pmRA	pmDE	Nc	K14	RV	o_RV	r_RV	[Fe/H]	o_[Fe/H]	TrType	WEBDA	Lynga
796	P	NGC 2467	07 52 26	-26 26 12		14.0	1355	0.338	7.103	D14	-3.65	2.68	571	K14	58.24	4	D14				WEBDA	Lynga
797		ESO 123 26	07 52 30	-60 19 48		16.0	550	0.13	8.33	D14	-2.8	6.39	204	K14						4-3-m-*	WEBDA	Lynga
798	P	Haffner 18	07 52 39	-26 23 00		5.0	6028	0.611	6.893	D14	-3.98	2.73	123	K14							WEBDA	Lynga
799	P	Haffner 19	07 52 47	-26 17 00		2.0	6400	0.38	6.65	LOK	-2.02	1.55	110	K14	68.0		RGDZ				WEBDA	Lynga
800		Alessi Teutsch 3	07 53 01	-53 02 42		43.2	800	0.1	8.57	D14	-4.23	5.11	1201	K14							WEBDA	Lynga
801		ASCC 43	07 53 06	-28 10 12		42.0	1000	0.1	8.28	K05	-4.4	0.47	19	K14	90.5	1	D14				WEBDA	Lynga
802		Ruprecht 41	07 53 48	-26 57 40		7.0	3150	0.13	8.84	D14	-2.23	2.92	179	K14						4-2-p-*	WEBDA	Lynga
803		Ruprecht 152	07 54 28	-38 14 14		7.0	8020	0.67	8.78	D14	-1.74	0.46	65	K14						2-2-m-*	WEBDA	Lynga
804		NGC 2479	07 55 06	-17 42 36		10.0	1585	0.05	9.0	D14	-2.94	-1.33	232	K14	38.17	2	K14			3-1-m-*	WEBDA	Lynga
805	P	Waterloo 3	07 55 06	-25 21 54		2.0	5200	0.34		K14	-1.18	3.41	58	K14						2-2-p-n	WEBDA	Lynga
806	P	NGC 2482	07 55 12	-24 15 30		10.0	1194	0.094	8.65	D14	-3.29	3.29	250	K14	38.17	2	MMU	-0.07	1		WEBDA	Lynga
807	P	NGC 2483	07 55 39	-27 53 42		7.0	1659	0.303	7.089	D14	-2.01	0.55	144	K14	121.51	1	D14				WEBDA	Lynga
808	P	Trumpler 9	07 55 40	-25 53 00		5.0	2289	0.248	8.001	D14	-0.68	2.46	118	K14							WEBDA	Lynga
809	P	NGC 2489	07 56 15	-30 03 48		6.0	3957	0.374	7.264	BDW	-4.83	5.45	1	K14	38.2	6	MMU	0.08	2		WEBDA	Lynga
810	P	Haffner 20	07 56 15	-30 22 00		3.0	3117	0.569	8.121	D14	-0.61	-1.83	60	K14							WEBDA	Lynga
811		Ruprecht 42	07 57 36	-25 55 00		4.0	5457	0.388	8.6	D14	-2.67	3.41	48	K14				0.33		3-2-p-*	WEBDA	Lynga
812		Turner 12	07 58 00	-29 17 06	d		4499	0.729	8.49	K14	2.47	2.2	40	K14							WEBDA	Lynga
813	P	NGC 2516	07 58 04	-60 45 12		30.0	409	0.101	8.052	D14	-5.43	8.41	770	K14	23.08	4	MMU	0.06	2		WEBDA	Lynga
814		Kronberger 85	07 58 22	-34 46 09		2.0	8500	1.17	8.8	K14	-0.83	3.66	39	K14							WEBDA	Lynga
815		Ruprecht 43	07 58 46	-28 48 40	nf	12.0	1300	0.27	8.47	D14	-1.82	0.4	325	K14	113.37	1	D14			4-1-p-*	WEBDA	Lynga
816	P	Ruprecht 44	07 58 51	-28 35 00		10.0	4730	0.619	6.941	D14	-2.17	0.17	278	K14	93.7	1	D14				WEBDA	Lynga
817		ESO 494 09	07 59 16	-27 35 06		3.0	1212	0.42	7.8	D14	-1.78	3.5	54	K14						3-3-m-*	WEBDA	Lynga
818		ESO 561 05	07 59 19	-22 41 30		7.0	3677	0.37	8.35	D14	-3.58	3.85	118	K14							WEBDA	Lynga
819		Ruprecht 45	07 59 36	-16 18 00	d	9.0	1888	0.062	9.3	D14	-6.14	0.13	193	K14						4-2-p-*	WEBDA	Lynga
820	P	NGC 2506	08 00 01	-10 46 12		12.0	3750	0.1	9.0	D14	-1.87	1.96	574	K14	83.25	30	MMU	-0.2	3		WEBDA	Lynga
821		Ruprecht 153	08 00 19	-30 17 00		3.0	1848	0.206	8.65	D14	-2.4	-0.39	27	K14				0.1		4-2-p-e	WEBDA	Lynga
822		NGC 2509	08 00 48	-19 03 06		6.0	912	0.15	9.9	D14	-2.64	1.81	185	K14						1-1-m-*	WEBDA	Lynga
823	P	Haffner 21	08 01 09	-27 13 00		3.0	2951	0.106	7.92	D14	-5.01	3.38	71	K14							WEBDA	Lynga
824		ESO 311 21	08 01 42	-41 35 57		5.0	2330	0.49	10.1	D14	-14.99	10.24	4	K14							WEBDA	Lynga
825		Ruprecht 154	08 01 46	-44 25 00		3.0	1783	0.087	9.35	D14	-5.16	2.67	27	K14				0.15		3-2-p-*	WEBDA	Lynga
826		Alessi 34	08 01 48	-50 33 30		48.0	1100	0.18	7.89	K05	-5.62	6.25	12	K14	17.8	2	K07				WEBDA	Lynga
827	P	Ruprecht 47	08 02 19	-31 04 00		4.0	3006	0.28	7.89	D14	-1.68	-0.45	106	K14	59.7	1	K07				WEBDA	Lynga
828		ESO 430 09	08 02 24	-29 46 36	d	0.8	2273	0.208	8.5	K14	-1.57	1.39	12	K14							WEBDA	Lynga
829		Ruprecht 48	08 02 43	-32 03 02		3.0	3030	0.29	8.6	D14	-2.34	0.74	74	K14						2-2-p-*	WEBDA	Lynga
830		Collinder 173	08 02 49	-46 23 00	o	370.0	421	0.05	7.142					K14	20.39	47	D14	-0.06			WEBDA	Lynga
831	P	Ruprecht 49	08 03 15	-26 46 00		2.0	1823	0.259	7.93	LOK	-4.74	1.01	20	K14							WEBDA	Lynga
832		Ruprecht 50	08 03 27	-30 52 00	d	3.0	1834	0.104	8.775	D14	-1.65	-0.12	76	K14						3-2-p-*	WEBDA	Lynga
833		Ruprecht 51	08 03 37	-30 39 00		4.0	2514	0.189	9.0	D14	-2.81	0.16	95	K14				0.04		4-1-m-*	WEBDA	Lynga
834		ESO 430 14	08 03 37	-31 25 36	d	5.0	2860	0.833	7.21	D14	-1.08	-0.71	107	K14							WEBDA	Lynga
835	P	NGC 2527	08 04 58	-28 08 48		10.0	601	0.038	8.649	D14	-1.95	0.65	297	K14	39.6	2	MMU	-0.1	2		WEBDA	Lynga
836		Ruprecht 155	08 05 05	-31 49 00	nf	3.0	2311	0.562	8.57	D14	-2.5	-0.63	58	K14						4-1-p-*	WEBDA	Lynga
837		Ruprecht 52	08 05 09	-31 58 00		3.0	2177	0.87	8.2	D14	-3.01	-0.23	52	K14						3-2-p-*	WEBDA	Lynga
838		ESO 430 18	08 06 52	-30 50 12	nf	12.0	830	0.0	9.05	D14	-2.56	0.86	395	K14							WEBDA	Lynga
839	P	NGC 2533	08 07 04	-29 53 00		5.0	1700	0.14	8.84	D14	-1.62	2.02	135	K14	35.22	3	MMU				WEBDA	Lynga
840		BH 19	08 07 05	-32 21 00		3.0	3050	0.71	8.45	D14	-3.48	-0.83	29	K14						3-2-p-*	WEBDA	Lynga
841		Teutsch 50	08 07 09	-36 04 08		4.4	3240	0.86	9.48	D14	-13.42	12.82	3	K14							WEBDA	Lynga
842		SAI 86	08 08 15	-36 36 33		6.0	3030	0.69	8.6	D14	-1.24	1.43	126	K14							WEBDA	Lynga
843		Pozzo 1	08 09 32	-47 20 12	o	18.0	336			D14	-2.14	3.76	559	K14							WEBDA	Lynga
844	P	NGC 2547	08 10 09	-49 12 54		25.0	361	0.186	7.585	TYC	-7.71	3.8	19	K14	15.65	6	FM09	-0.16	1		WEBDA	Lynga
845	P	NGC 2539	08 10 37	-12 49 06		9.0	1363	0.082	8.57	D14	-3.2	-1.24	186	K14	28.89	11	MMU	0.13	3		WEBDA	Lynga
846		FSR 1363	08 10 39	-34 37 19	IR	2.5	2391	0.333	8.5	K14	-4.55	9.4	42	K14							WEBDA	Lynga
847		Ruprecht 53	08 10 54	-26 00 00		5.0	1700	0.11	8.59	D14	-2.0	4.52	69	K14						4-2-p-*	WEBDA	Lynga
848		FSR 1380	08 11 05	-39 59 51	IR	4.0	2290	1.28	8.65	D14	-2.47	4.5	50	K14							WEBDA	Lynga
849		Ruprecht 54	08 11 21	-31 56 50		6.0	5470	0.13	8.9	D14	-5.65	0.65	133	K14						2-2-p-*	WEBDA	Lynga
850	P	NGC 2546	08 12 15	-37 35 42		70.0	919	0.134	7.874	TYC	-3.99	3.5	80	K14	15.24	2	MMU	0.12	2		WEBDA	Lynga
851	P	Ruprecht 55	08 12 27	-32 35 00		5.0	4600	0.45	7.0	D14	-2.37	0.83	72	K14	94.2	2	D14				WEBDA	Lynga
852		Haffner 22	08 12 27	-27 54 00		6.0	3050	0.2	9.4	D14	-1.95	2.67	154	K14						3-2-m-*	WEBDA	Lynga
853		Ruprecht 56	08 12 33	-40 28 00		39.0	410	0.12	8.7	D14	-2.48	4.58	1569	K14						3-2-m-*	WEBDA	Lynga
854		SAI 88	08 12 58	-41 53 01		2.0	8240	0.92	9.0	K14	-3.95	4.95	51	K14							WEBDA	Lynga
855	P	NGC 2548	08 13 43	-05 45 00		30.0	770	0.03	8.6	D14	-3.73	2.13	522	K14	7.7	4	MMU	0.08	3		WEBDA	Lynga
856		BH 23	08 14 24	-36 23 00		39.0	480	0.06	8.4	TYC	-7.4	5.1	30	K14	18.0	2	D14			3-2-p-*	WEBDA	Lynga
857		Ruprecht 58	08 14 47	-31 57 00		5.0	2229	0.06	8.85	D14	-1.38	-0.21	125	K14						4-2-p-*	WEBDA	Lynga
858		Ruprecht 57	08 15 05	-26 58 00		5.0	1764	0.208	8.975	D14	-0.86	4.19	102	K14						4-2-p-*	WEBDA	Lynga
859		Haffner 26	08 15 39	-30 50 00	d	5.0	1000	0.08	7.47	D14	0.42	-0.99	115	K14	62.38	1	RAVE			3-2-p-*	WEBDA	Lynga
860		ASCC 45	08 15 50	-35 39 00		24.0	3000	0.6	7.12	D14	-2.84	-1.34	1210	K14	43.0	1	D14				WEBDA	Lynga
861		ASCC 46	08 16 34	-48 30 36		48.0	900	0.1	7.71	K05	-5.51	6.75	15	K14							WEBDA	Lynga
862		Majaess 95	08 17 53	-35 52 48	IR	3.0				D14	-3.16	1.01	53	K14							WEBDA	Lynga
863	P	Pismis 2	08 17 54	-41 40 00		4.0	3310	0.05	9.06	D14	-5.72	0.89	42	K14	-49.0	9	FJ02	-0.07	9		WEBDA	Lynga
864	P	Pismis 1	08 18 18	-37 06 00		3.0	5907	0.578	7.928	D14	-4.84	-0.72	77	K14							WEBDA	Lynga
865	P	NGC 2567	08 18 32	-30 38 24		7.0	1677	0.128	8.469	D14	-1.28	2.07	195	K14	36.15	5	MMU	0.0	3		WEBDA	Lynga
866	P	NGC 2571	08 18 56	-29 45 00		8.0	1342	0.137	7.488	BDW	-3.86	6.4	2	K14	26.56	1	MMU	0.05			WEBDA	Lynga
867		Ivanov 8	08 19 10	-35 39 00		2.8	3888	1.08	9.2	K14	-3.0	4.02	55	K14							WEBDA	Lynga
868		Moitinho 1	08 19 17	-45 12 30		3.0	1146	0.947	8.635	D14	1.1	0.65	36	K14							WEBDA	Lynga
869	P	Ruprecht 59	08 19 21	-34 29 00		3.0	874	0.088	7.727	D14	-2.37	0.36	52	K14							WEBDA	Lynga
870	P	NGC 2579	08 20 52	-36 13 00		7.0	1033	0.15	7.61	D14	-3.93	0.64	150	K14	1.65	5	FM09				WEBDA	Lynga
871		NGC 2580	08 21 28	-30 18 00		3.5	4000	0.28	8.2	D14	-1.41	2.63	87	K14						2-2-m-*	WEBDA	Lynga
872		Majaess 99	08 21 45	-42 04 55	IR	10.0				D14	-4.51	1.54	89	K14							WEBDA	Lynga
873		AH03 J0822 36.4	08 22 12	-36 24 00		12.0	750	0.13	6.95	D14	-3.48	1.49	303	K14							WEBDA	Lynga
874		Majaess 101	08 22 49	-41 37 10	IR	2.0								K14							WEBDA	Lynga
