Cluster,RAdeg,DEdeg,GLON,GLAT,r50,N,pmRA,s_pmRA,e_pmRA,pmDE,s_pmDE,e_pmDE,Plx,s_Plx,e_Plx,dmode05,dmode16,dmode,dmode84,dmode95,dmode+01,dmode-01,X,Y,Z,Rgc
DBSB_6,112.493,-19.102,234.239,-0.486,0.036,26.0,-1.931,0.1,0.023,2.442,0.095,0.02,0.255,0.04,0.01,3383.0,3435.0,3519.4,3607.2,3668.9,2603.0,5431.9,-2056.7,-2855.8,-29.9,10781.8
DBSB_60,166.385,-62.482,291.037,-2.081,0.03,31.0,-5.229,0.372,0.061,1.874,0.222,0.055,0.202,0.105,0.019,4064.8,4163.8,4321.3,4492.3,4613.8,3016.0,7600.4,1550.2,-4030.6,-156.9,7896.0
Danks_1,198.121,-62.699,305.342,0.074,0.02,71.0,-7.02,0.137,0.018,-0.499,0.197,0.032,0.159,0.134,0.014,4865.3,5043.9,5323.6,5649.8,5882.9,3477.4,11384.7,3079.5,-4342.5,6.9,6821.3
ESO_211_09,139.186,-50.285,271.945,-0.795,0.024,28.0,-3.53,0.222,0.054,3.12,0.295,0.07,0.093,0.108,0.019,6685.9,7217.5,8182.2,9462.0,10544.9,4498.8,45091.2,277.7,-8176.7,-113.6,11483.1
ESO_313_03,127.907,-41.784,260.422,-1.311,0.015,11.0,-3.189,0.228,0.067,3.492,0.183,0.049,0.163,0.069,0.017,4576.7,4805.1,5199.6,5663.4,6023.3,3420.5,10836.4,-864.9,-5125.8,-118.9,10535.9
FSR_0198,300.614,35.681,72.182,2.609,0.127,95.0,-3.56,0.209,0.027,-6.611,0.248,0.026,0.486,0.045,0.005,1923.5,1932.2,1943.7,1955.3,1963.0,1627.5,2412.5,594.2,1848.6,88.5,7963.4
FSR_0238,308.693,41.417,80.477,0.62,0.039,33.0,-2.902,0.177,0.036,-4.547,0.127,0.03,0.596,0.059,0.012,1560.6,1576.7,1601.0,1627.2,1644.7,1380.0,1906.2,264.9,1578.8,17.3,8228.0
FSR_1025,102.62,6.612,206.934,2.798,0.011,14.0,0.202,0.083,0.021,-0.36,0.052,0.033,0.12,0.051,0.015,5944.1,6223.2,6696.4,7266.7,7691.4,4010.5,20346.6,-5963.0,-3029.6,326.9,14620.3
FSR_1509,147.006,-55.073,278.671,-1.086,0.028,39.0,-4.049,0.28,0.043,2.723,0.188,0.033,0.233,0.094,0.015,3592.4,3678.9,3818.3,3967.3,4073.1,2763.3,6173.2,575.5,-3774.0,-72.4,8633.1
FSR_1580,171.917,-58.471,292.148,2.636,0.039,14.0,-5.244,0.082,0.023,1.408,0.079,0.037,0.125,0.024,0.009,5503.1,5842.9,6482.6,7272.2,7881.8,3934.1,18452.6,2441.3,-5997.9,298.1,8412.4
Graham_1,164.134,-63.018,290.319,-2.995,0.028,20.0,-6.324,0.125,0.025,2.178,0.086,0.019,0.218,0.049,0.009,3892.5,3954.9,4056.2,4157.4,4227.6,2885.0,6821.7,1406.6,-3798.6,-211.9,7905.8
Gulliver_41,277.718,-12.429,19.546,-1.16,0.032,59.0,-1.79,0.297,0.042,-4.709,0.257,0.036,0.171,0.132,0.015,4523.3,4699.5,5000.2,5332.0,5591.2,3333.8,9982.9,4711.1,1672.6,-101.2,3995.8
Hogg_10,167.663,-60.385,290.788,0.088,0.032,18.0,-6.201,0.071,0.018,1.754,0.046,0.014,0.382,0.023,0.006,2374.2,2397.9,2435.1,2473.7,2500.4,1958.4,3218.2,864.2,-2276.5,3.7,7814.7
Ivanov_4,105.144,-8.861,221.858,-2.016,0.019,21.0,-1.355,0.103,0.034,1.022,0.292,0.065,0.355,0.077,0.018,2489.2,2533.0,2602.8,2674.5,2726.4,2064.7,3517.5,-1937.4,-1735.7,-91.6,10422.9
Juchert_18,97.864,6.804,204.6,-1.313,0.025,32.0,0.059,0.225,0.05,0.057,0.15,0.036,0.148,0.112,0.02,5055.8,5275.2,5640.8,6052.2,6363.0,3604.4,12924.7,-5127.5,-2347.6,-129.3,13670.6
Kronberger_1,82.089,34.777,173.106,0.049,0.014,38.0,-0.05,0.133,0.03,-2.199,0.249,0.048,0.443,0.112,0.016,2023.3,2060.9,2118.4,2180.9,2223.5,1748.0,2687.6,-2103.1,254.3,1.8,10446.2
Kronberger_85,119.59,-34.77,250.967,-2.842,0.025,32.0,-1.265,0.156,0.047,2.815,0.228,0.046,0.069,0.113,0.02,7843.1,8655.5,10239.6,12595.5,14829.6,5058.1,,-3335.2,-9667.9,-507.7,15158.5
