map,cmd,stars,MWSC,Name,Type,RAJ2000,DEJ2000,r0,r1,r2,pmRA,pmDE,RV,d,E(B-V),logt,rc,rt,k,SType,[Fe/H],Simbad
map,cmd,stars,2189,Loden_1101,,209.542,-61.75,0.012,0.08,0.155,-10.42,0.83,,2088.0,0.625,6.55,6.2,11.24,1.46,,,Simbad
map,cmd,stars,2190,Loden_1177,,209.775,-57.875,0.02,0.078,0.14,-6.72,1.01,,4167.0,0.625,9.175,2.92,18.74,0.52,dub,,Simbad
map,cmd,stars,2191,Loden_1171,,209.842,-58.384,0.018,0.085,0.145,-11.94,-5.42,,789.0,0.2,8.59,0.58,3.23,2.2,,,Simbad
map,cmd,stars,2192,Loden_1152,,209.865,-59.33,0.02,0.09,0.145,-6.0,1.76,,1711.0,0.573,8.065,1.15,8.24,6.63,,,Simbad
map,cmd,stars,2193,Lynga_1,,210.0,-62.15,0.012,0.085,0.155,-8.45,-0.44,-24.3,1312.0,0.5,8.39,1.04,6.67,9.84,,,Simbad
map,cmd,stars,2194,NGC_5359,r,210.0,-70.4,0.018,0.09,0.17,-6.17,-3.84,,2221.0,0.208,8.75,3.58,9.9,0.99,,,Simbad
map,cmd,stars,2195,FSR_1676,r,210.075,-49.765,0.012,0.095,0.145,-8.53,-1.51,,4570.0,0.312,9.45,1.99,17.81,0.63,,,Simbad
map,cmd,stars,2196,NGC_5381,,210.165,-59.605,0.02,0.105,0.16,-5.45,0.7,,1949.0,0.625,8.65,1.41,7.89,11.34,,,Simbad
map,cmd,stars,2197,Loden_1202,r,211.099,-58.7,0.01,0.07,0.11,-8.27,0.34,,1063.0,0.833,8.645,0.66,4.84,1.83,,,Simbad
map,cmd,stars,2198,NGC_5466,g,211.38,28.534,0.03,0.11,0.205,-3.55,-1.97,110.7,16003.0,0.0,10.1,8.83,93.0,0.14,glo,-1.745,Simbad
map,cmd,stars,2199,Ruprecht_110,,211.41,-67.475,0.012,0.1,0.185,-11.67,-4.0,-34.4,1241.0,0.312,8.7,0.92,6.63,5.08,,-0.234,Simbad
map,cmd,stars,2200,Loden_1194,,211.455,-59.745,0.02,0.11,0.18,-7.2,-3.0,2.0,673.0,0.042,8.705,0.44,3.17,21.96,,,Simbad
map,cmd,stars,2201,FSR_1674,r,211.659,-58.12,0.025,0.09,0.155,-0.45,-2.07,,3057.0,0.229,9.5,2.26,17.67,1.47,,,Simbad
map,cmd,stars,2202,NGC_5460,a,211.89,-48.33,0.04,0.22,0.38,-5.7,-2.95,-12.3,652.0,0.094,8.3,1.8,6.16,6.14,,,Simbad
map,cmd,stars,2203,DBSB_135,n,212.16,-61.177,0.01,0.042,0.07,-10.5,-0.28,-45.9,2120.0,1.145,8.35,0.85,5.33,4.31,irc,,Simbad
map,cmd,stars,2204,Loden_1225,,212.34,-59.725,0.025,0.13,0.21,-9.95,0.25,,1330.0,0.25,8.67,2.49,9.0,3.28,,,Simbad
map,cmd,stars,2205,ASCC_77,a,212.7,-62.33,0.02,0.15,0.265,-5.8,-1.71,,2041.0,0.468,6.75,3.92,13.37,2.2,,,Simbad
map,cmd,stars,2206,Loden_1289,r,213.555,-57.86,0.015,0.09,0.14,-8.24,-4.58,,1753.0,0.874,8.6,2.26,7.32,3.11,,,Simbad
map,cmd,stars,2207,ESO_097-15,,213.855,-64.63,0.02,0.08,0.12,-12.97,1.25,,3274.0,0.854,8.25,1.39,15.79,0.39,dub,,Simbad
map,cmd,stars,2208,ESO_021-06,,213.966,-78.515,0.025,0.09,0.165,-3.04,-5.85,,2473.0,0.104,9.5,2.34,15.64,1.84,,,Simbad
map,cmd,stars,2209,Loden_1282,,213.96,-59.12,0.012,0.09,0.135,-2.98,0.41,,1349.0,0.312,8.15,,,,,,Simbad
map,cmd,stars,2210,Loden_1256,r,214.5,-61.425,0.035,0.115,0.19,-4.33,-3.98,,1226.0,0.489,8.58,2.55,6.02,9.14,,,Simbad
