recno	ID	NameLit	SourceCat	TypeSourceCat	Sep	SepTidal	SepTidalLit	SepTidalData	pmRASep	pmRASigma	pmDESep	pmDESigma	PlxSep	PlxSigma	maxSigma	meanSigma
120		ASCC_121	Bica+18	position												
121	6155	ASCC_122	Dias+02	position	0.5311	0.39400582	0.73770172	0.39400582								
122	62	ASCC_123	Bica+18	position	0.0796	0.01221368	0.28092497	0.01221368								
123	5514	ASCC_123	Cantat-Gaudin+20	gaia_dr2	0.4843	0.15614219	0.18713648	0.15614219	0.1887	0.29171269	0.1205	0.1602	0.02364	0.0	0.292	0.1506
124	5514	ASCC_123	Dias+02	position	0.4323	0.13936669	0.33771587	0.13936669								
125	2473	ASCC_123	Dias+02	position	0.4254	0.18212254	0.33238179	0.18212254								
126	62	ASCC_123	Dias+02	position	0.0796	0.01221368	0.06218391	0.01221368								
127	401	ASCC_123	Dias+02	position	0.5589	0.43662132	0.43662132	0.89417414								
128	87	ASCC_124	Kharchenko+13	hipparcos	0.05593	0.01097555	0.18040915	0.01097555	0.1948	0.0427867	0.8632	0.2403	0.02745	0.0	0.24	0.09437
129	87	ASCC_124	Kharchenko+13	position	0.05593	0.01097555	0.18040915	0.01097555								
130	2517	ASCC_125	Bica+18	position	0.1331	0.42627024	0.44378073	0.42627024								
131	63	ASCC_125	Dias+02	position	0.04193	0.07624356	0.07624356	0.19913609								
132	2517	ASCC_125	Dias+02	position	0.1331	0.24206222	0.24206222	0.42627024								
133	5474	ASCC_125	Dias+02	position	0.2287	0.32884319	0.41589368	0.32884319								
134	5474	ASCC_125	Bica+18	position	0.2287	0.32884319	0.76247176	0.32884319								
135	63	ASCC_125	Bica+18	position	0.04193	0.13977986	0.13977986	0.19913609								
136		ASCC_126	Bica+18	position												
137		ASCC_126	Kharchenko+13	position,hipparcos												
138		ASCC_126	Dias+02	position												
139	64	ASCC_127	Cantat-Gaudin+20	gaia_dr2	0.2129	0.05009823	0.169761	0.05009823	0.06427	0.05476385	0.09961	0.1879	0.01041	0.0	0.188	0.08088
140	64	ASCC_127	Kharchenko+13	hipparcos	0.3403	0.08009391	0.5042069	0.08009391	1.01	0.25719465	1.005	0.2558	0.1724	0.4397	0.44	0.3176
141	64	ASCC_127	Kharchenko+13	position	0.3403	0.08009391	0.5042069	0.08009391								
142	64	ASCC_127	Dias+02	position	0.3437	0.08088012	0.47733402	0.08088012								
143	65	ASCC_128	Dias+02	position	0.02813	0.00979178	0.08036923	0.00979178								
144	65	ASCC_128	Cantat-Gaudin+20	gaia_dr2	0.1854	0.06452249	0.18065915	0.06452249	0.05141	0.01002062	0.07251	0.1965	0.01603	0.0	0.196	0.06882
145	65	ASCC_128	Bica+18	position	0.02813	0.00979178	0.18752821	0.00979178								
146	65	ASCC_128	Kharchenko+13	position	0.1185	0.0412646	0.51540193	0.0412646								
147	110	ASCC_129	Kharchenko+13	hipparcos	0.0136	0.05230074	0.05230074	0.07619481	1.401	0.38493085	1.33	0.3646	0.05116	0.02077	0.385	0.2568
148	110	ASCC_129	Kharchenko+13	position	0.0136	0.05230074	0.05230074	0.07619481								
149	8	ASCC_13	Bica+18	position	0.2285	0.26367967	0.32641392	0.26367967								
150	8	ASCC_13	Cantat-Gaudin+20	gaia_dr2	0.05747	0.04718542	0.04718542	0.06632313	0.07523	0.25856365	0.06648	0.1476	0.002236	0.0	0.259	0.1354
151	8	ASCC_13	Dias+02	position	0.2285	0.26367967	0.32641392	0.26367967								
152	8	ASCC_13	Kharchenko+13	hipparcos	0.2822	0.32571116	0.41506277	0.32571116	0.8018	0.23537411	2.491	0.7641	0.3208	1.943	1.94	0.9808
153	8	ASCC_13	Kharchenko+13	position	0.2822	0.32571116	0.41506277	0.32571116								
154		ASCC_130	Kharchenko+13	position,hipparcos												
155		ASCC_130	Bica+18	position												
156		ASCC_130	Dias+02	position												
157	2876	ASCC_14	Bica+18	position	0.1479	0.23135707	0.6824474	0.23135707								
158	2876	ASCC_14	Dias+02	position	0.1479	0.23135707	0.67210728	0.23135707								
159	9	ASCC_14	Dias+02	position	0.1028	0.23870668	0.46711016	0.23870668								
160	9	ASCC_14	Bica+18	position	0.1028	0.23870668	0.47429647	0.23870668								
161	9	ASCC_14	Kharchenko+13	position	0.09262	0.21513517	0.52923772	0.21513517								
162	9	ASCC_14	Kharchenko+13	hipparcos	0.09262	0.21513517	0.52923772	0.21513517	0.534	0.1378863	0.7926	0.2115	0.08668	0.3608	0.361	0.2367
163		ASCC_15	Bica+18	position												
164		ASCC_15	Kharchenko+13	position,hipparcos												
165		ASCC_15	Dias+02	position												
166	290	ASCC_16	Cantat-Gaudin+20	gaia_dr2	0.1216	0.12266819	0.16166489	0.12266819	0.02898	0.0	0.001194	0.0	0.05613	0.05894	0.0589	0.01965
167	290	ASCC_16	Kharchenko+13	hipparcos	0.07239	0.07304361	0.10968314	0.07304361	0.826	0.24058538	0.1638	0.03528	0.4042	1.263	1.26	0.5129
168	290	ASCC_16	Kharchenko+13	position	0.07239	0.07304361	0.10968314	0.07304361								
169		ASCC_17	Kharchenko+13	position,hipparcos												
170		ASCC_17	Bica+18	position												
171		ASCC_17	Dias+02	position												
172	10	ASCC_18	Dias+02	position	0.4993	0.75941845	0.80537355	0.75941845								
173	11	ASCC_19	Dias+02	position	0.1281	0.16013834	0.16013834	0.16881219								
174	5518	ASCC_19	Dias+02	position	0.579	0.11624135	0.72379341	0.11624135								
175	11	ASCC_19	Cantat-Gaudin+20	gaia_dr2	0.131	0.10829314	0.10829314	0.1726652	0.01572	0.0	0.05152	0.006925	0.04327	0.0	0.00693	0.002308
176	11	ASCC_19	Kharchenko+13	position	0.1226	0.16151001	0.23570977	0.16151001								
177	11	ASCC_19	Kharchenko+13	hipparcos	0.1226	0.16151001	0.23570977	0.16151001	0.8877	0.21192391	0.5925	0.1372	0.3444	0.8303	0.83	0.3931
178	6172	ASCC_2	Kharchenko+13	position	0.1247	0.17009626	0.56681574	0.17009626								
179	6172	ASCC_2	Bica+18	position	0.04324	0.05898523	0.14414242	0.05898523								
180	5617	ASCC_2	Dias+02	position	0.1946	0.26229577	0.64867483	0.26229577								
181	5617	ASCC_2	Bica+18	position	0.1946	0.26229577	0.64867483	0.26229577								
182	6172	ASCC_2	Dias+02	position	0.04324	0.05898523	0.14414242	0.05898523								
183	12	ASCC_20	Dias+02	position	0.09187	0.05632426	0.12249849	0.05632426								
184	12	ASCC_20	Kharchenko+13	hipparcos	0.08143	0.04992239	0.11231917	0.04992239	1.159	0.28057846	0.429	0.09588	0.2304	0.6382	0.638	0.3382
185	12	ASCC_20	Kharchenko+13	position	0.08143	0.04992239	0.11231917	0.04992239								
186	13	ASCC_21	Dias+02	position	0.05497	0.03076074	0.06871831	0.03076074								
