ID,NameLit,SourceCat,TypeSourceCat,Sep,SepTidal,SepTidalLit,SepTidalData,pmRASep,pmRASigma,pmDESep,pmDESigma,PlxSep,PlxSigma,maxSigma,meanSigma
112,ASCC_118,Kharchenko+13,hipparcos,0.05496,0.13254795,0.26807369,0.13254795,2.65,0.70873169,1.191,0.3112,0.1741,1.151,1.15,0.7235
0,ASCC_119,Dias+02,position,,,,,,,,,,,,
0,ASCC_119,Kharchenko+13,"position,hipparcos",,,,,,,,,,,,
0,ASCC_119,Bica+18,position,,,,,,,,,,,,
7,ASCC_12,Dias+02,position,0.04645,0.03507212,0.18579899,0.03507212,,,,,,,,
7,ASCC_12,Kharchenko+13,position,0.04533,0.034228,0.20605364,0.034228,,,,,,,,
7,ASCC_12,Cantat-Gaudin+20,gaia_dr2,0.03344,0.02525267,0.05518945,0.02525267,0.04205,0.0,0.1224,0.5917,0.01569,0.0,0.592,0.1972
7,ASCC_12,Bica+18,position,0.02014,0.01520903,0.08057177,0.01520903,,,,,,,,
0,ASCC_120,Dias+02,position,,,,,,,,,,,,
0,ASCC_120,Kharchenko+13,"position,hipparcos",,,,,,,,,,,,
0,ASCC_120,Bica+18,position,,,,,,,,,,,,
0,ASCC_121,Dias+02,position,,,,,,,,,,,,
0,ASCC_121,Kharchenko+13,"position,hipparcos",,,,,,,,,,,,
0,ASCC_121,Bica+18,position,,,,,,,,,,,,
6155,ASCC_122,Dias+02,position,0.5311,0.39400582,0.73770172,0.39400582,,,,,,,,
62,ASCC_123,Bica+18,position,0.0796,0.01221368,0.28092497,0.01221368,,,,,,,,
5514,ASCC_123,Cantat-Gaudin+20,gaia_dr2,0.4843,0.15614219,0.18713648,0.15614219,0.1887,0.29171269,0.1205,0.1602,0.02364,0.0,0.292,0.1506
5514,ASCC_123,Dias+02,position,0.4323,0.13936669,0.33771587,0.13936669,,,,,,,,
2473,ASCC_123,Dias+02,position,0.4254,0.18212254,0.33238179,0.18212254,,,,,,,,
62,ASCC_123,Dias+02,position,0.0796,0.01221368,0.06218391,0.01221368,,,,,,,,
401,ASCC_123,Dias+02,position,0.5589,0.43662132,0.43662132,0.89417414,,,,,,,,
87,ASCC_124,Kharchenko+13,hipparcos,0.05593,0.01097555,0.18040915,0.01097555,0.1948,0.0427867,0.8632,0.2403,0.02745,0.0,0.24,0.09437
87,ASCC_124,Kharchenko+13,position,0.05593,0.01097555,0.18040915,0.01097555,,,,,,,,
2517,ASCC_125,Bica+18,position,0.1331,0.42627024,0.44378073,0.42627024,,,,,,,,
63,ASCC_125,Dias+02,position,0.04193,0.07624356,0.07624356,0.19913609,,,,,,,,
2517,ASCC_125,Dias+02,position,0.1331,0.24206222,0.24206222,0.42627024,,,,,,,,
